member.id,age,gender,ad.group,prev.purchase,n.visit,predicted.incomeleve,visit.id,site.visit,purchase.prob,activity.level,time.spent.onwebsite,attention,purchased.after.visit,review
1848823,51,1,0,0,1,1,2655087,0,0.1513539030225,0,0,3,0,0
7023740,56,0,0,1,1,1,1848823,0,0.211898994564312,0,0,2,0,0
5733263,63,1,0,1,2,1,1680416,1,0.242585635541392,3,1,3,0,0
5733263,63,1,0,1,2,1,8075164,0,0.224464162171691,0,0,2,0,0
1680519,50,1,0,1,2,2,5858004,0,0.22946498828966,0,0,2,0,0
1680519,50,1,0,1,2,2,89458,0,0.230882801895874,0,0,2,0,0
9438390,55,1,1,1,2,1,2002145,1,0.234719698195145,2,1,2,0,0
9438390,55,1,1,1,2,1,6852186,1,0.228402013172188,3,2,6,0,0
9434745,56,1,1,0,1,2,6062683,1,0.18389649291102,2,3,6,0,0
1291589,59,1,0,0,1,1,9889093,0,0.161741419919202,0,0,4,0,0
8334483,54,1,0,2,3,3,4662953,1,0.308784338338617,4,1,4,0,0
8334483,54,1,0,2,3,3,2078233,1,0.312545018516424,1,8,8,1,1
8334483,54,1,0,2,3,3,7996578,0,0.303382030963308,0,0,9,0,0
4680182,65,1,0,3,1,3,2216014,0,0.373068873487007,0,0,8,0,0
5499833,55,1,0,1,2,2,5074783,1,0.245214859735391,2,1,2,0,0
5499833,55,1,0,1,2,2,3067685,0,0.217926206102632,0,0,3,0,0
5526736,58,1,0,1,2,2,2772498,0,0.241190697206142,0,0,4,0,0
5526736,58,1,0,1,2,2,5184,0,0.235572044786768,0,0,8,0,0
2388945,60,1,0,1,1,9,693610,0,0.290085524614181,0,0,4,0,0
7605125,54,1,0,0,2,3,7103225,0,0.175548434363597,0,0,4,0,0
7605125,54,1,0,0,2,3,2461373,0,0.186605461368328,0,0,3,0,0
1808199,50,1,0,3,1,5,2540338,0,0.375333827869041,0,0,5,0,0
4052817,64,0,0,1,1,1,6021141,1,0.226597588001934,4,3,12,1,0
8535472,44,0,0,1,1,1,6831101,1,0.215697677614822,3,5,15,1,1
9763970,60,1,1,0,1,1,1550509,0,0.166699585178854,0,0,2,0,0
2258251,56,1,0,0,1,4,8228964,0,0.164321957414359,0,0,1,0,0
4448085,61,0,0,2,2,2,1171306,1,0.290514915350757,2,2,4,0,0
4448085,61,0,0,2,2,2,4840297,0,0.283356278875791,0,0,4,0,0
749793,58,1,0,0,1,3,8775214,0,0.180614688468664,0,0,6,0,0
6618975,66,1,0,0,2,2,7861150,0,0.175930911401182,0,0,4,0,0
6618975,66,1,0,0,2,2,2524456,0,0.178926257358414,0,0,15,0,0
3875488,50,1,0,0,3,5,3042769,0,0.185459736007318,0,0,9,0,0
3875488,50,1,0,0,3,5,4747389,0,0.190507762358747,0,0,3,0,0
3875488,50,1,0,0,3,5,9935256,0,0.181438948530078,0,0,6,0,0
8368874,63,1,0,0,1,3,5766037,0,0.173488831506802,0,0,6,0,0
1505011,65,1,0,0,1,5,2925740,0,0.189362263342055,0,0,3,0,0
3472715,56,1,0,0,1,2,4161185,0,0.15582680147236,0,0,4,0,0
4887721,43,1,0,1,1,1,165924,0,0.212649436801575,0,0,1,0,0
1492465,58,1,0,4,4,1,9717503,1,0.424939587233997,2,3,6,1,1
1492465,58,1,0,4,4,1,837576,1,0.42702324955111,3,1,3,0,0
1492465,58,1,0,4,4,1,8738698,1,0.42610942514379,3,5,15,1,0
1492465,58,1,0,4,4,1,3292313,0,0.415605978832219,0,0,3,0,0
3570617,53,0,0,0,2,2,285754,0,0.143055299599096,0,0,4,0,0
3570617,53,0,0,0,2,2,883694,0,0.161356983115651,0,0,10,0,0
9626414,59,1,1,2,1,1,996811,1,0.303483292867472,2,2,4,1,0
1323717,57,1,0,0,1,2,987829,0,0.181272802903869,0,0,3,0,0
104145,59,1,0,0,1,4,5221580,0,0.180630108501057,0,0,3,0,0
1646418,57,1,0,5,1,6,5058406,1,0.527394371765328,1,1,1,0,0
8101896,61,1,0,1,3,3,4459405,0,0.242772256989658,0,0,10,0,0
8101896,61,1,0,1,3,3,3946503,0,0.236008214897951,0,0,10,0,0
8101896,61,1,0,1,3,3,4837288,0,0.238411419015986,0,0,33,0,0
8688582,54,1,0,0,1,2,4447686,0,0.179775342371542,0,0,3,0,0
5142801,52,1,0,0,1,2,8565904,0,0.160918352977717,0,0,3,0,0
6271941,53,1,0,0,2,2,6223777,0,0.173838103412339,0,0,4,0,0
6271941,53,1,0,0,2,2,6754986,0,0.158349515820033,0,0,5,0,0
8444260,47,0,0,0,1,1,5496409,0,0.124894145057018,0,0,12,0,0
2848696,51,1,0,3,3,1,3999058,1,0.355180192708267,3,1,3,0,0
2848696,51,1,0,3,3,1,202663,1,0.363572416845391,4,6,24,1,0
2848696,51,1,0,3,3,1,1455749,1,0.364928198684894,4,3,12,1,1
6672232,53,1,0,0,2,2,4263927,0,0.17647745844884,0,0,12,0,0
6672232,53,1,0,0,2,2,2063405,0,0.153411718621568,0,0,3,0,0
1504692,54,1,0,0,2,4,6835821,0,0.192874950125035,0,0,3,0,0
1504692,54,1,0,0,2,4,8729037,0,0.174645704446707,0,0,2,0,0
9817240,54,1,1,1,1,1,2134906,1,0.230387765083734,1,3,3,0,0
2970096,46,1,0,0,2,5,9148061,0,0.184041565316538,0,0,6,0,0
2970096,46,1,0,0,2,5,9370754,0,0.175200032629225,0,0,4,0,0
1150836,51,1,0,2,3,3,4850377,0,0.290674353366906,0,0,8,0,0
1150836,51,1,0,2,3,3,9107660,0,0.300804716056989,0,0,8,0,0
1150836,51,1,0,2,3,3,576739,0,0.304561199362148,0,0,4,0,0
1632002,65,1,0,1,1,3,7434178,0,0.240696755928911,0,0,3,0,0
9440377,59,1,1,4,3,5,6333729,1,0.453191495563282,3,1,3,0,0
9440377,59,1,1,4,3,5,3175367,1,0.461536330023102,3,5,15,1,1
9440377,59,1,1,4,3,5,2409219,1,0.458388927940426,3,1,3,0,0
7948603,65,1,0,0,1,2,1843486,0,0.176232318410018,0,0,1,0,0
9746835,54,1,1,2,1,1,9769620,1,0.295641849159885,3,1,3,0,0
3490868,55,1,0,4,1,2,5791663,1,0.427285930829377,3,4,12,1,0
5019675,55,1,0,0,3,1,3656991,0,0.168690081549482,0,0,9,0,0
5019675,55,1,0,0,3,1,4878542,0,0.165145265170266,0,0,12,0,0
5019675,55,1,0,0,3,1,2698100,0,0.167016837302051,0,0,3,0,0
8103933,50,0,0,5,1,5,7087271,1,0.490599744395575,4,2,8,1,1
71091,51,1,0,0,2,5,7759755,0,0.190639897265185,0,0,1,0,0
71091,51,1,0,0,2,5,2004704,0,0.17269490064414,0,0,6,0,0
146939,66,1,0,0,1,11,1620198,0,0.230444185716352,0,0,6,0,0
6833999,53,0,0,0,1,1,5791888,0,0.132851536992379,0,0,3,0,0
9297153,62,0,1,2,3,1,9702035,0,0.269947201474636,0,0,4,0,0
9297153,62,0,1,2,3,1,6674507,1,0.296814150125024,3,2,6,1,0
9297153,62,0,1,2,3,1,6895532,1,0.280310710594542,4,3,12,1,0
2753998,50,0,0,1,1,2,5478136,0,0.211435458537633,0,0,3,0,0
8118553,46,0,0,1,1,5,4047964,0,0.228087002642367,0,0,16,0,0
7858746,54,1,0,0,3,3,2439144,0,0.175244633164307,0,0,3,0,0
7858746,54,1,0,0,3,3,5129495,0,0.183335939010264,0,0,8,0,0
7858746,54,1,0,0,3,3,386285,0,0.183874366371779,0,0,2,0,0
9888966,60,1,1,0,2,1,3264545,0,0.158775957411818,0,0,2,0,0
9888966,60,1,1,0,2,1,1449602,0,0.157610284976245,0,0,10,0,0
6139494,61,1,0,3,3,6,312922,0,0.387248861368527,0,0,3,0,0
6139494,61,1,0,3,3,6,5521254,0,0.388979300670872,0,0,2,0,0
6139494,61,1,0,3,3,6,8728165,1,0.410395713847637,1,2,2,0,0
7101816,64,1,0,0,1,3,7644361,0,0.179384305814218,0,0,8,0,0
7700233,47,0,0,0,4,5,3517392,0,0.159049232016069,0,0,6,0,0
7700233,47,0,0,0,4,5,9424839,0,0.160658932632318,0,0,6,0,0
7700233,47,0,0,0,4,5,3538566,0,0.171829729376086,0,0,6,0,0
7700233,47,0,0,0,4,5,162655,0,0.166403985567281,0,0,10,0,0
8869788,66,1,0,2,1,2,7885124,0,0.305238186798854,0,0,6,0,0
6251179,52,0,0,1,3,1,9072670,0,0.203002466030113,0,0,4,0,0
6251179,52,0,0,1,3,1,1998466,0,0.202252011135428,0,0,14,0,0
6251179,52,0,0,1,3,1,305215,1,0.221653602020323,2,1,2,0,0
2602984,56,1,0,3,1,2,438217,1,0.373599467184089,2,3,6,0,0
8590677,58,1,0,1,1,4,1156883,1,0.262057914106102,1,4,4,0,0
4374852,51,1,0,4,1,2,9899366,1,0.427857509517298,1,1,1,0,0
3881422,46,1,0,0,1,3,8886542,0,0.164994437179014,0,0,3,0,0
4614981,53,1,0,3,1,4,9244900,0,0.371817462679422,0,0,6,0,0
